PromoId,MerchantId,Type,Content,DateSent
1,1,Promo,Limited-time offer or sale,2024-01-30
2,2,Update,Business or app changes,2023-09-14
3,3,Event,Upcoming in-store or virtual event,2024-03-26
4,4,Reminder,Friendly nudge for action,2024-11-08
5,5,Survey,Request for customer feedback,2024-06-18
6,6,Alert,Important or urgent notice,2023-01-10
7,7,Newsletter,Regular info and tips,2024-07-17
8,8,Discount,Price cut or special deal,2024-04-29
9,9,Thank You,Appreciation message,2025-02-11
10,10,Feature Launch,New feature or product release,2023-05-25
11,11,Promo,Limited-time offer or sale,2023-05-19
12,12,Update,Business or app changes,2023-10-14
13,13,Event,Upcoming in-store or virtual event,2024-01-19
14,14,Reminder,Friendly nudge for action,2023-12-08
15,15,Survey,Request for customer feedback,2023-11-05
16,16,Alert,Important or urgent notice,2023-08-23
17,17,Newsletter,Regular info and tips,2023-03-08
18,18,Discount,Price cut or special deal,2025-02-09
19,19,Thank You,Appreciation message,2023-11-27
20,20,Feature Launch,New feature or product release,2024-11-21
21,21,Promo,Limited-time offer or sale,2024-03-06
22,22,Update,Business or app changes,2024-09-06
23,23,Event,Upcoming in-store or virtual event,2023-09-09
24,24,Reminder,Friendly nudge for action,2023-10-22
25,25,Survey,Request for customer feedback,2024-11-18
26,26,Alert,Important or urgent notice,2024-03-18
27,27,Newsletter,Regular info and tips,2024-12-12
28,28,Discount,Price cut or special deal,2024-08-15
29,29,Thank You,Appreciation message,2024-05-25
30,30,Feature Launch,New feature or product release,2024-09-07
31,31,Promo,Limited-time offer or sale,2024-01-06
32,32,Update,Business or app changes,2024-03-26
33,33,Event,Upcoming in-store or virtual event,2023-04-03
34,34,Reminder,Friendly nudge for action,2023-10-18
35,35,Survey,Request for customer feedback,2024-11-02
36,36,Alert,Important or urgent notice,2024-04-03
37,37,Newsletter,Regular info and tips,2023-11-16
38,38,Discount,Price cut or special deal,2024-12-04
39,39,Thank You,Appreciation message,2023-12-04
40,40,Feature Launch,New feature or product release,2024-08-04
