OrderItem#,TransactionId,ItemId,Price,RewardRedeemed,Discount
1,61,31,22.99,0,0
2,70,4,3.49,0,0
3,63,43,3.29,1,3.29
4,32,8,29.99,0,0
5,36,55,16.99,1,16.99
6,22,14,7.49,1,7.49
7,77,26,29.99,1,29.99
8,57,39,24.99,0,0
9,4,37,199.99,1,199.99
10,1,49,3.99,1,3.99
11,23,48,6.99,1,6.99
12,75,59,89.99,1,89.99
13,37,57,3.29,1,3.29
14,58,41,129.99,0,0
15,53,21,3.99,1,3.99
16,55,6,2.29,1,2.29
17,73,67,6.99,0,0
18,31,58,39.99,0,0
19,69,63,6.99,0,0
20,35,9,39.99,0,0
21,76,20,2.29,0,0
22,62,56,3.99,1,3.99
23,30,78,2.99,1,2.99
24,15,54,9.99,1,9.99
25,50,12,29.99,1,29.99
26,45,29,45,1,45
27,27,53,29.99,1,29.99
28,26,34,32.99,1,32.99
29,54,68,89.99,1,89.99
30,80,73,169.99,0,0
31,19,65,7.99,0,0
32,48,60,4.49,1,4.49
33,47,28,10.99,1,10.99
34,44,2,7.49,0,0
35,56,16,299.99,0,0
36,33,32,4.29,1,4.29
37,16,40,3.99,0,0
38,64,50,27.99,1,27.99
39,46,22,34.99,1,34.99
40,8,42,19.99,1,19.99
41,3,11,5.99,0,0
42,29,5,15.99,1,15.99
43,7,44,19.99,0,0
44,68,33,9.99,0,0
45,66,64,29.99,1,29.99
46,52,15,19.99,0,0
47,79,72,3.99,1,3.99
48,39,74,34.99,1,34.99
49,9,52,22.99,1,22.99
50,5,69,6.49,1,6.49
51,21,1,34.99,1,34.99
52,17,23,3.99,0,0
53,10,17,89.99,1,89.99
54,28,45,4.99,0,0
55,71,79,34.99,0,0
56,59,18,15.99,0,0
57,24,75,19.99,0,0
58,74,70,34.99,0,0
59,51,19,149.99,0,0
60,34,77,99.99,1,99.99
61,6,61,1.79,0,0
62,65,66,22.99,1,22.99
63,40,13,19.99,1,19.99
64,11,10,5.49,0,0
65,12,47,44.99,0,0
66,20,46,1.79,1,1.79
67,18,80,24.99,0,0
68,13,3,0.99,0,0
69,60,71,3.99,1,3.99
70,38,51,15.99,0,0
